fecha,tasa
31/05/2002,12.77
30/06/2002,16.76
31/07/2002,16.8
31/08/2002,16.21
30/09/2002,16.08
31/10/2002,16.08
30/11/2002,16.08
31/12/2002,16.08
31/01/2003,16.08
28/02/2003,16.08
31/03/2003,16.08
30/04/2003,16.08
31/05/2003,16.08
30/06/2003,16.08
31/07/2003,16.08
31/08/2003,16.08
30/09/2003,16.08
31/10/2003,16.08
30/11/2003,16.08
31/12/2003,16.08
31/01/2004,16.08
29/02/2004,16.08
31/03/2004,16.08
30/04/2004,16.08
31/05/2004,16.08
30/06/2004,16.08
31/07/2004,16.08
31/08/2004,16.08
30/09/2004,16.08
31/10/2004,16.08
30/11/2004,16.23
31/12/2004,16.08
31/01/2005,16.08
28/02/2005,16.08
31/03/2005,16.08
30/04/2005,16.08
31/05/2005,16.02
30/06/2005,16.01
31/07/2005,15.83
31/08/2005,15.84
30/09/2005,15.26
31/10/2005,15.12
30/11/2005,14.93
31/12/2005,15.38
31/01/2006,14.41
28/02/2006,15.16
31/03/2006,15.33
30/04/2006,14.44
31/05/2006,14.18
30/06/2006,13.37
31/07/2006,13.27
31/08/2006,13.33
30/09/2006,13.22
31/10/2006,13.21
30/11/2006,13.3
31/12/2006,13.32
31/01/2007,13.23
28/02/2007,13.65
31/03/2007,13.95
30/04/2007,14
31/05/2007,14.59
30/06/2007,15.14
31/07/2007,15.3
31/08/2007,15.5
30/09/2007,15.4
31/10/2007,15.27
30/11/2007,15.45
31/12/2007,15.66
31/01/2008,15.74
29/02/2008,15.94
31/03/2008,16.02
30/04/2008,16.07
31/05/2008,16.2
30/06/2008,16.17
31/07/2008,16.28
31/08/2008,16.62
30/09/2008,16.86
31/10/2008,16.98
30/11/2008,16.92
31/12/2008,17.07
31/01/2009,17
28/02/2009,16.7
31/03/2009,16.48
30/04/2009,16.32
31/05/2009,15.86
30/06/2009,15.2
31/07/2009,14.94
31/08/2009,14.43
30/09/2009,14.17
31/10/2009,14.03
30/11/2009,13.92
31/12/2009,13.53
31/01/2010,13.04
28/02/2010,12.92
31/03/2010,12.94
30/04/2010,12.78
31/05/2010,12.76
30/06/2010,12.59
31/07/2010,12.77
31/08/2010,12.79
30/09/2010,12.74
31/10/2010,12.71
30/11/2010,12.68
31/12/2010,12.78
31/01/2011,12.85
28/02/2011,12.94
31/03/2011,12.99
30/04/2011,12.7
31/05/2011,12.62
30/06/2011,12.66
31/07/2011,12.91
31/08/2011,13.01
30/09/2011,13.2
31/10/2011,13.31
30/11/2011,13.34
31/12/2011,13.13
31/01/2012,13.45
29/02/2012,13.43
31/03/2012,13.44
30/04/2012,13.48
31/05/2012,13.46
30/06/2012,13.39
31/07/2012,13.13
31/08/2012,13.46
30/09/2012,13.31
31/10/2012,13.17
30/11/2012,12.94
31/12/2012,12.91
31/01/2013,12.85
28/02/2013,12.69
31/03/2013,12.55
30/04/2013,12.11
31/05/2013,11.67
30/06/2013,11.55
31/07/2013,11.76
31/08/2013,11.83
30/09/2013,11.94
31/10/2013,11.98
30/11/2013,11.97
31/12/2013,11.96
31/01/2014,11.97
28/02/2014,11.98
31/03/2014,12.02
30/04/2014,12.08
31/05/2014,12.11
30/06/2014,12.17
31/07/2014,12.06
31/08/2014,12.16
30/09/2014,11.94
31/10/2014,11.91
30/11/2014,11.91
31/12/2014,11.86
31/01/2015,11.91
28/02/2015,11.94
31/03/2015,11.93
30/04/2015,11.98
31/05/2015,12
30/06/2015,11.99
31/07/2015,11.91
31/08/2015,11.88
30/09/2015,11.9
31/10/2015,12
30/11/2015,12.34
31/12/2015,12.36
31/01/2016,12.43
29/02/2016,12.59
31/03/2016,12.61
30/04/2016,12.72
31/05/2016,12.83
30/06/2016,12.8
31/07/2016,12.82
31/08/2016,12.78
30/09/2016,12.8
31/10/2016,12.79
30/11/2016,12.89
31/12/2016,12.87
31/01/2017,12.84
28/02/2017,12.75
31/03/2017,12.88
30/04/2017,12.77
31/05/2017,12.86
30/06/2017,12.58
31/07/2017,12.3
31/08/2017,12.13
30/09/2017,12.08
31/10/2017,11.98
30/11/2017,11.93
31/12/2017,11.9
31/01/2018,11.81
28/02/2018,11.9
31/03/2018,11.76
30/04/2018,11.76
31/05/2018,11.75
30/06/2018,11.63
31/07/2018,11.66
31/08/2018,11.64
30/09/2018,11.68
31/10/2018,11.73
30/11/2018,11.69
31/12/2018,11.59
31/01/2019,11.7
28/02/2019,11.65
31/03/2019,11.53
30/04/2019,11.6
31/05/2019,11.53
30/06/2019,11.48
31/07/2019,11.5
31/08/2019,11.46
30/09/2019,11.49
31/10/2019,11.37
30/11/2019,11.35
31/12/2019,11.3
31/01/2020,11.43
29/02/2020,11.63
31/03/2020,11.6
30/04/2020,11.6
31/05/2020,11.59
30/06/2020,11.7
31/07/2020,11.68
31/08/2020,11.66
30/09/2020,11.52
31/10/2020,11.48
30/11/2020,11.38
31/12/2020,11.35
31/01/2021,11.34
28/02/2021,10.88
31/03/2021,10.65
30/04/2021,10.73
31/05/2021,10.69
30/06/2021,10.54
31/07/2021,10.54
31/08/2021,10.51
30/09/2021,10.46
31/10/2021,10.46
30/11/2021,10.78
31/12/2021,10.83
31/01/2022,10.71
28/02/2022,10.84
31/03/2022,11.19
30/04/2022,11.65
31/05/2022,12.1
30/06/2022,12.37
31/12/2022,15.79
31/01/2023,16.58
31/03/2023,15.89
30/06/2023,15.04
31/07/2023,15.02
31/08/2023,14.83
30/09/2023,14.56
